day,San_Lorenzo,Reyes,Sena,Santa_Rosa_Pando,Ixiamas,Porvenir,Nueva_Esperanza,Santa_Rosa_Beni,Bella_Flor,Puerto_Gonzalo_Moreno,Puerto_Rico,Bolpebra,Guayamerin,Riberalta,Exaltacion,Cobija,San_Pedro,Villa_Nueva,Santos_Mercado,Filadelfia,Ingavi
11,4284.532420120218,4576.926130439853,3849.2740440052403,4280.686056649899,5041.5536677914515,4448.4812581110855,4421.093630896474,4026.470061398757,4374.257627974099,4227.398920394191,4342.62499126177,4436.345133910172,4190.939433453551,4227.404111992364,4273.257032357661,4429.343805690994,4403.56465774579,3735.8512287046933,3642.595885535293,4464.0051291613145,4315.842147060857
12,4282.730063424612,4575.123773744248,3847.471687309635,4278.883699954293,5039.751311095846,4446.67890141548,4419.291274200868,4024.6677047031517,4372.455271278493,4225.596563698585,4340.822634566164,4434.542777214567,4189.137076757946,4225.601755296759,4271.454675662056,4427.541448995388,4401.762301050185,3734.0488720090875,3640.793528839687,4462.20277246571,4314.039790365253
13,4281.022077762932,4573.415788082568,3845.763701647955,4277.1757142926135,5038.043325434166,4444.9709157538,4417.583288539188,4022.959719041472,4370.747285616812,4223.8885780369055,4339.114648904484,4432.834791552887,4187.429091096265,4223.893769635079,4269.746690000376,4425.833463333708,4400.054315388505,3732.340886347408,3639.085543178007,4460.49478680403,4312.331804703573
14,4279.408969248191,4571.802679567826,3844.150593133213,4275.562605777872,5036.430216919425,4443.357807239058,4415.970180024447,4021.34661052673,4369.134177102072,4222.275469522164,4337.501540389743,4431.221683038145,4185.815982581524,4222.280661120337,4268.133581485634,4424.220354818966,4398.441206873763,3730.727777832666,3637.4724346632656,4458.881678289288,4310.718696188831
15,4277.891215879254,4570.284926198889,3842.6328397642756,4274.044852408934,5034.912463550487,4441.840053870121,4414.452426655509,4019.8288571577923,4367.616423733134,4220.757716153226,4335.983787020806,4429.703929669207,4184.298229212586,4220.762907751399,4266.615828116696,4422.702601450029,4396.923453504825,3729.2100244637286,3635.9546812943277,4457.36392492035,4309.200942819893
16,4276.469267399199,4568.862977718835,3841.2108912842223,4272.62290392888,5033.490515070433,4440.418105390067,4413.030478175456,4018.406908677739,4366.19447525308,4219.335767673172,4334.5618385407515,4428.281981189154,4182.876280732533,4219.340959271346,4265.193879636643,4421.280652969976,4395.501505024772,3727.788075983675,3634.5327328142744,4455.9419764402965,4307.778994339839
17,4275.143545162052,4567.537255481686,3839.8851690470738,4271.2971816917325,5032.164792833285,4439.092383152919,4411.704755938308,4017.08118644059,4364.868753015931,4218.0100454360245,4333.236116303604,4426.9562589520065,4181.550558495384,4218.015237034197,4263.8681573994945,4419.954930732827,4394.175782787623,3726.4623537465263,3633.207010577126,4454.616254203148,4306.453272102691
18,4273.914442007921,4566.308152327557,3838.656065892944,4270.068078537603,5030.935689679155,4437.863279998789,4410.475652784177,4015.85208328646,4363.639649861801,4216.780942281895,4332.007013149473,4425.727155797877,4180.3214553412545,4216.786133880068,4262.639054245365,4418.725827578697,4392.946679633494,3725.233250592397,3631.977907422996,4453.387151049019,4305.224168948561
19,4272.782322146599,4565.176032466235,3837.5239460316216,4268.935958676279,5029.803569817832,4436.731160137467,4409.343532922855,4014.7199634251383,4362.507530000479,4215.648822420571,4330.874893288151,4424.595035936553,4179.189335479932,4215.654014018745,4261.506934384042,4417.593707717375,4391.814559772171,3724.101130731074,3630.8457875616737,4452.255031187696,4304.092049087239
20,4271.747521049631,4564.141231369266,3836.4891449346537,4267.901157579312,5028.768768720865,4435.6963590404985,4408.308731825888,4013.68516232817,4361.472728903512,4214.614021323604,4329.840092191183,4423.560234839586,4178.154534382965,4214.619212921777,4260.472133287075,4416.5589066204075,4390.779758675203,3723.0663296341063,3629.810986464706,4451.220230090728,4303.057247990271
